,src,tar,src_type,tar_type,is_net,arc_delay,src_id,tar_id,org_src_id,org_tar_id,src_pin_name,tar_pin_name,cell_name,libcell_name
174,_377_/C,_377_/Y,pin,pin,0,2.092094379679832e-11,254,255,254,255,C,Y,_377_,AO221x1_ASAP7_75t_R
175,_378_/A1,_378_/Y,pin,pin,0,1.7624426223994405e-11,256,260,256,260,A1,Y,_378_,OA22x2_ASAP7_75t_R
176,_378_/A2,_378_/Y,pin,pin,0,2.035698519475826e-11,257,260,257,260,A2,Y,_378_,OA22x2_ASAP7_75t_R
177,_378_/B1,_378_/Y,pin,pin,0,1.7999062310036784e-11,258,260,258,260,B1,Y,_378_,OA22x2_ASAP7_75t_R
178,_378_/B2,_378_/Y,pin,pin,0,1.857579888520089e-11,259,260,259,260,B2,Y,_378_,OA22x2_ASAP7_75t_R
179,_379_/A,_379_/Y,pin,pin,0,1.3511310126279596e-11,261,262,261,262,A,Y,_379_,INVx1_ASAP7_75t_R
180,_380_/A,_380_/Y,pin,pin,0,2.1382730655550297e-11,263,266,263,266,A,Y,_380_,AND3x1_ASAP7_75t_R
181,_380_/B,_380_/Y,pin,pin,0,2.1884584422426908e-11,264,266,264,266,B,Y,_380_,AND3x1_ASAP7_75t_R
182,_380_/C,_380_/Y,pin,pin,0,2.148312604199898e-11,265,266,265,266,C,Y,_380_,AND3x1_ASAP7_75t_R
183,_381_/A1,_381_/Y,pin,pin,0,1.7181563463641858e-11,267,270,267,270,A1,Y,_381_,OAI21x1_ASAP7_75t_R
184,_381_/A2,_381_/Y,pin,pin,0,1.7901008800280668e-11,268,270,268,270,A2,Y,_381_,OAI21x1_ASAP7_75t_R
185,_381_/B,_381_/Y,pin,pin,0,1.4031198945774204e-11,269,270,269,270,B,Y,_381_,OAI21x1_ASAP7_75t_R
186,_382_/A,_382_/Y,pin,pin,0,1.938683415192433e-11,271,273,271,273,A,Y,_382_,OR2x2_ASAP7_75t_R
187,_382_/B,_382_/Y,pin,pin,0,2.1793501031597276e-11,272,273,272,273,B,Y,_382_,OR2x2_ASAP7_75t_R
188,_383_/A,_383_/Y,pin,pin,0,1.0342663357698624e-11,274,275,274,275,A,Y,_383_,INVx1_ASAP7_75t_R
