,libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay,libcell_id,group_id,size_class,size_class2,size_cnt,min_size_cell
88,DFFLQNx3_ASAP7_75t_R,45,320760,6.205780005915935e-16,1.5900100680532603e-10,4.720829629989432e-11,4.866100231093462e-11,88,46,0,0,3,DFFLQNx3_ASAP7_75t_R
89,DFFLQx4_ASAP7_75t_R,46,364500,6.207090260006219e-16,2.835220114238979e-10,4.8892164622449386e-11,4.942910317162763e-11,89,47,0,0,1,DFFLQx4_ASAP7_75t_R
90,DHLx1_ASAP7_75t_R,47,218700,6.193840017733203e-16,1.1562899943085013e-10,2.8287578876518005e-11,3.0300279646455763e-11,90,48,1,5,3,DHLx3_ASAP7_75t_R
91,DHLx2_ASAP7_75t_R,47,233280,6.191960133985889e-16,1.3507299445603138e-10,2.7800574342595752e-11,2.9045543747940883e-11,91,48,2,49,3,DHLx3_ASAP7_75t_R
92,DHLx3_ASAP7_75t_R,47,247860,6.195049686660999e-16,1.545180094986165e-10,2.9477854185389057e-11,3.0452900617872196e-11,92,48,0,0,3,DHLx3_ASAP7_75t_R
93,DLLx1_ASAP7_75t_R,48,218700,6.262810204858975e-16,1.2169100449543888e-10,3.207186946574403e-11,3.3874458793548e-11,93,49,1,43,3,DLLx3_ASAP7_75t_R
94,DLLx2_ASAP7_75t_R,48,233280,6.260610036778482e-16,1.4113600566023618e-10,3.2491950102686567e-11,3.3690709944078634e-11,94,49,2,49,3,DLLx3_ASAP7_75t_R
95,DLLx3_ASAP7_75t_R,48,247860,6.240019724621914e-16,1.6058000762431135e-10,3.4102547175063336e-11,3.509315754657294e-11,95,49,0,0,3,DLLx3_ASAP7_75t_R
96,FAx1_ASAP7_75t_R,49,204120,2.1764299821462438e-15,0.0,7.814118102578149e-11,3.94421162397407e-11,96,50,0,0,1,FAx1_ASAP7_75t_R
97,FILLER_ASAP7_75t_R,50,29160,,,,,97,51,0,0,1,FILLER_ASAP7_75t_R
98,FILLERxp5_ASAP7_75t_R,51,14580,,,,,98,52,0,0,1,FILLERxp5_ASAP7_75t_R
99,HAxp5_ASAP7_75t_R,52,131220,1.0640499881209036e-15,0.0,3.774729140371136e-11,2.860462040843448e-11,99,53,0,0,1,HAxp5_ASAP7_75t_R
100,HB1xp67_ASAP7_75t_R,35,58320,3.383590104233142e-16,2.8231500470710102e-11,1.4536054651625996e-11,2.0118988072748145e-11,100,36,3,38,16,HB4xp67_ASAP7_75t_R
101,HB2xp67_ASAP7_75t_R,35,72900,5.170410341630825e-16,2.385079980737892e-11,2.6729306268347127e-11,2.9414932295468426e-11,101,36,2,27,16,HB4xp67_ASAP7_75t_R
102,HB3xp67_ASAP7_75t_R,35,87480,6.60731968033098e-16,2.3137599475253623e-11,4.0423615843554466e-11,4.083210505823054e-11,102,36,1,14,16,HB4xp67_ASAP7_75t_R
103,HB4xp67_ASAP7_75t_R,35,102060,8.018890028414023e-16,2.28926998885326e-11,5.5424262401793094e-11,5.339827191530589e-11,103,36,0,0,16,HB4xp67_ASAP7_75t_R
104,ICGx1_ASAP7_75t_R,53,262440,,,,,104,54,0,0,1,ICGx1_ASAP7_75t_R
105,ICGx2_ASAP7_75t_R,54,277020,,,,,105,55,0,0,1,ICGx2_ASAP7_75t_R
106,ICGx2p67DC_ASAP7_75t_R,55,700380,,,,,106,56,0,0,1,ICGx2p67DC_ASAP7_75t_R
107,ICGx3_ASAP7_75t_R,56,291600,,,,,107,57,0,0,1,ICGx3_ASAP7_75t_R
108,ICGx4DC_ASAP7_75t_R,57,700380,,,,,108,58,0,0,1,ICGx4DC_ASAP7_75t_R
109,ICGx4_ASAP7_75t_R,58,306180,,,,,109,59,0,0,1,ICGx4_ASAP7_75t_R
110,ICGx5_ASAP7_75t_R,59,320760,,,,,110,60,0,0,1,ICGx5_ASAP7_75t_R
111,ICGx5p33DC_ASAP7_75t_R,60,700380,,,,,111,61,0,0,1,ICGx5p33DC_ASAP7_75t_R
112,ICGx6p67DC_ASAP7_75t_R,61,700380,,,,,112,62,0,0,1,ICGx6p67DC_ASAP7_75t_R
